DATE,INTERPOLATED,MA7_NUM_CRITICAL,MA7_NUM_CRITICAL_per_100kpop,MA7_NUM_DAILY_CRITICAL,MA7_NUM_DAILY_CRITICAL_per_100kpop,NUM_CRITICAL,NUM_CRITICAL_per_100kpop,NUM_DAILY_CRITICAL,NUM_DAILY_CRITICAL_per_100kpop,PROVINCE_NAME,PROVINCE_NAME_PSGC,REGION_NAME
2021-03-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cotabato City,PH129800000,BARMM
2021-03-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cotabato City,PH129800000,BARMM
2021-03-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cotabato City,PH129800000,BARMM
2021-03-25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cotabato City,PH129800000,BARMM
2021-03-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cotabato City,PH129800000,BARMM
2021-03-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cotabato City,PH129800000,BARMM
2021-03-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cotabato City,PH129800000,BARMM
2021-03-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cotabato City,PH129800000,BARMM
2021-03-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cotabato City,PH129800000,BARMM
2021-03-31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cotabato City,PH129800000,BARMM
2021-04-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cotabato City,PH129800000,BARMM
2021-04-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cotabato City,PH129800000,BARMM
2021-04-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cotabato City,PH129800000,BARMM
2021-04-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cotabato City,PH129800000,BARMM
2021-04-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cotabato City,PH129800000,BARMM
2021-04-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cotabato City,PH129800000,BARMM
2021-04-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cotabato City,PH129800000,BARMM
2021-04-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cotabato City,PH129800000,BARMM
2021-04-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cotabato City,PH129800000,BARMM
2021-04-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cotabato City,PH129800000,BARMM
2021-04-11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cotabato City,PH129800000,BARMM
2021-04-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cotabato City,PH129800000,BARMM
2021-04-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cotabato City,PH129800000,BARMM
2021-04-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cotabato City,PH129800000,BARMM
2021-04-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cotabato City,PH129800000,BARMM
2021-04-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cotabato City,PH129800000,BARMM
2020-04-25,0,1.0,0.05361641415796296,0.0,0.0,1.0,0.05361641415796296,0.0,0.0,City of Manila,PH133900000,NCR
2020-04-26,0,1.5,0.08042462123694444,0.5,0.02680820707898148,2.0,0.10723282831592593,1.0,0.05361641415796296,City of Manila,PH133900000,NCR
2020-04-27,0,1.6666666666666667,0.0893606902632716,0.3333333333333333,0.01787213805265432,2.0,0.10723282831592593,0.0,0.0,City of Manila,PH133900000,NCR
2020-04-28,0,1.75,0.09382872477643518,0.25,0.01340410353949074,2.0,0.10723282831592593,0.0,0.0,City of Manila,PH133900000,NCR
2020-04-29,0,1.8,0.09650954548433334,0.2,0.010723282831592592,2.0,0.10723282831592593,0.0,0.0,City of Manila,PH133900000,NCR
2020-04-30,0,1.8333333333333333,0.09829675928959876,0.16666666666666666,0.00893606902632716,2.0,0.10723282831592593,0.0,0.0,City of Manila,PH133900000,NCR
2020-05-01,0,1.8571428571428572,0.09957334057907408,0.14285714285714285,0.007659487736851852,2.0,0.10723282831592593,0.0,0.0,City of Manila,PH133900000,NCR
2020-05-02,0,2.0,0.10723282831592593,0.14285714285714285,0.007659487736851852,2.0,0.10723282831592593,0.0,0.0,City of Manila,PH133900000,NCR
2020-05-03,0,2.0,0.10723282831592593,0.0,0.0,2.0,0.10723282831592593,0.0,0.0,City of Manila,PH133900000,NCR
2020-05-04,0,2.0,0.10723282831592593,0.0,0.0,2.0,0.10723282831592593,0.0,0.0,City of Manila,PH133900000,NCR
2020-05-05,0,2.0,0.10723282831592593,0.0,0.0,2.0,0.10723282831592593,0.0,0.0,City of Manila,PH133900000,NCR
2020-05-06,0,2.0,0.10723282831592593,0.0,0.0,2.0,0.10723282831592593,0.0,0.0,City of Manila,PH133900000,NCR
2020-05-07,0,2.142857142857143,0.11489231605277778,0.14285714285714285,0.007659487736851852,3.0,0.16084924247388888,1.0,0.05361641415796296,City of Manila,PH133900000,NCR
2020-05-08,0,2.2857142857142856,0.12255180378962963,0.14285714285714285,0.007659487736851852,3.0,0.16084924247388888,0.0,0.0,City of Manila,PH133900000,NCR
