DATE,INTERPOLATED,MA7_NUM_TOT_CASES,MA7_NUM_TOT_CASES_per_100kpop,NUM_TOT_CASES,NUM_TOT_CASES_per_100kpop,PROVINCE_NAME,PROVINCE_NAME_PSGC,REGION_NAME
2020-12-18,0,4350.285714285714,200.38444929127078,4569.0,210.4589465940731,Leyte,PH083700000,8
2020-12-19,0,4402.285714285714,202.779692281617,4603.0,212.02506701083794,Leyte,PH083700000,8
2020-12-20,0,4460.142857142857,205.44472912527144,4671.0,215.1573078443676,Leyte,PH083700000,8
2020-12-21,0,4524.857142857142,208.42562218743302,4737.0,218.1974239474993,Leyte,PH083700000,8
2020-12-22,0,4588.285714285714,211.3472922086246,4746.0,218.61198523429002,Leyte,PH083700000,8
2020-12-23,0,4648.571428571428,214.12419479633363,4777.0,220.03991855545792,Leyte,PH083700000,8
2020-12-24,0,4708.142857142857,216.86819569461485,4854.0,223.58672067577825,Leyte,PH083700000,8
2020-12-25,0,4762.571428571428,219.37530442901573,4950.0,228.00870773487893,Leyte,PH083700000,8
2020-12-26,0,4822.714285714285,222.1456266788392,5024.0,231.41732275960237,Leyte,PH083700000,8
2020-12-27,0,4878.285714285714,224.70537811632454,5060.0,233.07556790676514,Leyte,PH083700000,8
2020-12-28,0,4927.285714285714,226.96243401107387,5080.0,233.99681521074447,Leyte,PH083700000,8
2020-12-29,0,4976.714285714285,229.23923091947987,5092.0,234.549563593132,Leyte,PH083700000,8
2020-12-30,0,5023.142857142857,231.37784073228897,5102.0,235.0101872451217,Leyte,PH083700000,8
2020-12-31,0,5060.285714285714,233.08872858253622,5114.0,235.5629356275093,Leyte,PH083700000,8
2021-01-01,0,5098.428571428572,234.84567879798254,5217.0,240.30735924300274,Leyte,PH083700000,8
2021-01-02,0,5134.142857142857,236.49076326937416,5274.0,242.93291405934374,Leyte,PH083700000,8
2021-01-03,0,5167.571428571428,238.0305623345967,5294.0,243.85416136332304,Leyte,PH083700000,8
2021-01-04,0,5202.142857142857,239.6230041029038,5322.0,245.14390758889408,Leyte,PH083700000,8
2021-01-05,0,5236.285714285714,241.19570485755418,5331.0,245.55846887568478,Leyte,PH083700000,8
2021-01-06,0,5270.285714285714,242.761825274319,5340.0,245.97303016247545,Leyte,PH083700000,8
2021-01-07,0,5309.285714285714,244.55825751707863,5387.0,248.13796132682683,Leyte,PH083700000,8
2021-01-08,0,5342.0,246.0651548928734,5446.0,250.85564087356582,Leyte,PH083700000,8
2021-01-09,0,5378.0,247.72340004003615,5526.0,254.54063008948305,Leyte,PH083700000,8
2021-01-10,0,5421.428571428572,249.72382275724837,5598.0,257.85712038380854,Leyte,PH083700000,8
2021-01-11,0,5475.428571428572,252.21119047799252,5700.0,262.55548163410305,Leyte,PH083700000,8
2021-01-12,0,5528.142857142857,254.6393351577665,5700.0,262.55548163410305,Leyte,PH083700000,8
2021-01-13,0,5588.0,257.3964967318189,5759.0,265.27316118084195,Leyte,PH083700000,8
2021-01-14,0,5648.571428571428,260.1865599952991,5811.0,267.6684041711882,Leyte,PH083700000,8
2021-01-15,0,5716.0,263.29247947728646,5918.0,272.5970772474775,Leyte,PH083700000,8
2021-01-16,0,5789.142857142857,266.6616124746965,6038.0,278.12456107135336,Leyte,PH083700000,8
2021-01-17,0,5864.428571428571,270.12945054039,6125.0,282.13198684366336,Leyte,PH083700000,8
2021-01-18,0,5941.714285714285,273.6894133364815,6241.0,287.47522120674336,Leyte,PH083700000,8
2021-01-19,0,6022.142857142857,277.39414356605545,6263.0,288.48859324112055,Leyte,PH083700000,8
2021-01-20,0,6102.571428571428,281.0988737956294,6322.0,291.2062727878596,Leyte,PH083700000,8
2021-01-21,0,6185.142857142857,284.9023090934868,6389.0,294.2924512561902,Leyte,PH083700000,8
2021-01-22,0,6264.0,288.5346556063196,6470.0,298.0235028373064,Leyte,PH083700000,8
2021-01-23,0,6332.428571428571,291.68663745350585,6517.0,300.1884340016578,Leyte,PH083700000,8
2021-01-24,0,6400.285714285714,294.8122979491499,6600.0,304.0116103131719,Leyte,PH083700000,8
2021-01-25,0,6457.857142857142,297.4641741170332,6644.0,306.0383543819264,Leyte,PH083700000,8
2021-01-26,0,6515.428571428571,300.1160502849165,6666.0,307.05172641630367,Leyte,PH083700000,8
2021-01-27,0,6574.428571428571,302.8337298316555,6735.0,310.23002961503227,Leyte,PH083700000,8
2021-01-28,0,6632.571428571428,305.51192735108106,6796.0,313.03983389216916,Leyte,PH083700000,8
2021-01-29,0,6684.857142857142,307.9203310171984,6836.0,314.88232850012776,Leyte,PH083700000,8
2021-01-30,0,6737.857142857142,310.3616363727436,6888.0,317.277571490474,Leyte,PH083700000,8
2021-01-31,0,6797.571428571428,313.1122176089104,7018.0,323.2656789663395,Leyte,PH083700000,8
2021-02-01,0,6857.571428571428,315.8759595208483,7064.0,325.3845477654919,Leyte,PH083700000,8
2021-02-02,0,6923.428571428571,318.9094952860944,7127.0,328.2864767730267,Leyte,PH083700000,8
2021-02-03,0,6981.857142857142,321.6008534812911,7144.0,329.06953698140916,Leyte,PH083700000,8
2021-02-04,0,7045.571428571428,324.5356841782538,7242.0,333.58364877090776,Leyte,PH083700000,8
2021-02-05,0,7107.142857142857,327.37180980693296,7267.0,334.73520790088185,Leyte,PH083700000,8
2021-02-06,0,7169.857142857142,330.2605781386966,7327.0,337.49894981281983,Leyte,PH083700000,8
2021-02-07,0,7229.714285714285,333.017739712749,7437.0,342.565809984706,Leyte,PH083700000,8
2021-02-08,0,7289.142857142857,335.75516027314467,7480.0,344.5464916882615,Leyte,PH083700000,8
2021-02-09,0,7347.857142857142,338.4596791441125,7538.0,347.2181088698015,Leyte,PH083700000,8
2021-02-10,0,7408.285714285714,341.2431620697071,7567.0,348.5539174605715,Leyte,PH083700000,8
2021-02-11,0,7460.857142857142,343.6647264115956,7610.0,350.53459916412703,Leyte,PH083700000,8
2021-02-12,0,7517.142857142857,346.25737953850876,7661.0,352.8837797892743,Leyte,PH083700000,8
2021-02-13,0,7569.857142857142,348.6855242182828,7696.0,354.49596257123807,Leyte,PH083700000,8
2021-02-14,0,7612.285714285714,350.6398845702961,7734.0,356.24633244879874,Leyte,PH083700000,8
2021-02-15,0,7653.285714285714,352.52844154345365,7767.0,357.7663905003646,Leyte,PH083700000,8
2021-02-16,0,7690.571428571428,354.2459097315865,7799.0,359.2403861867315,Leyte,PH083700000,8
2021-02-17,0,7724.857142857142,355.82519082412244,7807.0,359.6088851083232,Leyte,PH083700000,8
2021-02-18,0,7757.428571428571,357.3255078620316,7838.0,361.0368184294911,Leyte,PH083700000,8
2021-02-19,0,7786.428571428571,358.6613164528016,7864.0,362.23443992466423,Leyte,PH083700000,8
2021-02-20,0,7820.571428571428,360.23401720745204,7935.0,365.5048678537908,Leyte,PH083700000,8
2021-02-21,0,7852.0,361.68169154227667,7954.0,366.3800527925711,Leyte,PH083700000,8
2021-02-22,0,7895.0,363.66237324583216,8068.0,371.6311624252532,Leyte,PH083700000,8
2021-02-23,0,7934.285714285714,365.4719661643629,8074.0,371.907536616447,Leyte,PH083700000,8
2021-02-24,0,7975.428571428571,367.36710347540605,8095.0,372.87484628562527,Leyte,PH083700000,8
2021-02-25,0,8022.714285714285,369.5451953155286,8169.0,376.2834613103487,Leyte,PH083700000,8
2021-02-26,0,8072.0,371.81541188604905,8209.0,378.1259559183073,Leyte,PH083700000,8
2021-02-27,0,8118.0,373.93428068520143,8257.0,380.33694944785765,Leyte,PH083700000,8
2021-02-28,0,8165.571428571428,376.1255332010951,8287.0,381.7188204038266,Leyte,PH083700000,8
2021-03-01,0,8202.0,377.8035193619146,8323.0,383.3770655509894,Leyte,PH083700000,8
2021-03-02,0,8238.571428571428,379.48808586061955,8330.0,383.6995021073821,Leyte,PH083700000,8
2021-03-03,0,8272.571428571428,381.05420627738437,8333.0,383.83768920297905,Leyte,PH083700000,8
2021-03-04,0,8301.714285714284,382.39659520603993,8373.0,385.68018381093765,Leyte,PH083700000,8
2021-03-05,0,8330.571428571428,383.72582345892437,8411.0,387.4305536884983,Leyte,PH083700000,8
2021-03-06,0,8358.714285714284,385.02215002238097,8454.0,389.41123539205387,Leyte,PH083700000,8
2021-03-07,0,8390.857142857143,386.5027260466335,8512.0,392.08285257359387,Leyte,PH083700000,8
2021-03-08,0,8425.285714285714,388.08858747705494,8564.0,394.47809556394003,Leyte,PH083700000,8
2021-03-09,0,8459.142857142857,389.64812755593425,8567.0,394.616282659537,Leyte,PH083700000,8
2021-03-10,0,8494.714285714284,391.28663168944024,8582.0,395.30721813752143,Leyte,PH083700000,8
2021-03-11,0,8530.714285714284,392.944876836603,8625.0,397.287899841077,Leyte,PH083700000,8
2021-03-12,0,8569.714285714284,394.7413090793626,8684.0,400.00557938781594,Leyte,PH083700000,8
2021-03-13,0,8609.857142857143,396.5903840252069,8735.0,402.35476001296314,Leyte,PH083700000,8
2021-03-14,0,8645.285714285714,398.2223078208274,8760.0,403.50631914293723,Leyte,PH083700000,8
