DATE,INTERPOLATED,MA7_NUM_DAILY_SEVERE,MA7_NUM_DAILY_SEVERE_per_100kpop,MA7_NUM_SEVERE,MA7_NUM_SEVERE_per_100kpop,NUM_DAILY_SEVERE,NUM_DAILY_SEVERE_per_100kpop,NUM_SEVERE,NUM_SEVERE_per_100kpop,PROVINCE_NAME,PROVINCE_NAME_PSGC,REGION_NAME
2020-11-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-11-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-11-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-11-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-11-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-11-17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-11-18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-11-19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-11-20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-11-21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-11-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-11-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-11-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-11-25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-11-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-11-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-11-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-11-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-11-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-12-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-12-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
2020-12-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eastern Samar,PH082600000,8
